"title","detailed text","publish date","topic","learn more url"
"Expanding For J's Sales Network Through Exporting","For J's Hawaii, Inc. was founded in June of 2001 on the island of Oahu. Along with its initial product offering, Poi Puff Mix, the company manufactures gourmet flavor-infused sea salts and cane sugars using a patented process called SavorBlast.  The company currently employs 5 people. 
For J’s Hawaii’s management witnessed the growth in popularity of their products locally and wanted to expand overseas. Management was faced with the challenge of understanding the process to export their products outside of the country. The company was aware that it would have to research new markets, contract with foreign distributors, adapt pricing, and build relationships, but did not know how to go about accomplishing these tasks. HTDC-MEP, a NIST MEP network affiliate, was brought in to help the management team gain a better understanding of the exporting process and to get For J's exporting.
For J’s Hawaii President, Janis Tanga, attended a series of workshop classes hosted by HTDC-MEP that focused solely on exporting. This exporting workshop series was based on the NIST MEP ExporTech program, and the structure was adapted to meet the needs of companies in Hawaii. This series of workshops lasted for a month and covered all of the topics necessary to exporting your product. Through these workshops, For J's was able to network with professionals skilled in exporting and build relationships with distributors abroad. The HTDC-MEP exporting workshop helped the company gain knowledge of product adaption, engineering, redesign, branding, labeling, and packaging, as well as the understanding of the general exporting process.
Results:
Revenue growth of 25%.
Products exported to Japan.
Products soon exported to China.  
“Having the opportunity to learn more about exporting regulations helped me understand how to expand my business abroad.  For J’s Hawaii now has a strong exporting presence and we forecast additional growth in our upcoming quarters.”  Janis Tanga, Owner
For more information, contact a nearby NIS MEP affiliate.
","March 13, 2012 - 3:15pm","ExporTech Program","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Robotics Manufacturer Poised to Grow 20% Through Innovation and Exporting","Wolf Robotics, LLC located in Fort Collins, Colorado manufactures metalworking, or welding, robotic devices for equipment manufacturers. Robotic welding cells have been manufactured at the facility since 1978 as a division of the ABB Group.  In 2003, Wolf Robotics became its own operation.  Since November 2003, Wolf Robotics has experienced significant growth, expanding from 20 employees to 110. After a dip in revenue due to the recession, Wolf is on track to make a record year.
Wolf Robotics began working with the Colorado Association for Manufacturing and Technology (CAMT), a NIST MEP affiliate, in 2006 to gain operational efficiencies and improve project management skills in their workforce to meet increasing customer demand.  As they honed continuous improvement skills, Wolf Robotics looked to CAMT for strategic support in continuing their growth trajectory.
Working with CAMT, Wolf Robotics has increased revenue through showcasing efficient clean facilities using Visual Workplace, developing new products using structured innovation methodologies, and increasing international market penetration.  Wolf Robotics, with CAMT assistance, launched an extensive Visual Workplace program to facilitate on the floor and inter-department communication, increase process efficiency, and fully engage the workforce in continuous improvement.  The resulting clean, organized and efficient manufacturing facility has made factory tours an integral and dynamic aspect of their sales strategy.
Additionally, the Wolf Robotics core team participated in CAMT co-sponsored innovation workshops to learn a structured methodology for innovation. This program led the Wolf team through the creation of dozens of ideas for streamlined processes, increased marketing effectiveness, and new or improved products and services. Those ideas were then vetted through a series of processes, and a 30-day action plan was created and executed to determine feasibility of moving forward. Historically, Wolf Robotics’ revenue has stemmed from custom engineering projects. Using methodologies learned through innovation training, a series of standardized pre-defined products have been developed. These new products will contribute to achieving a projected revenue increase of 20%.
Wolf Robotics also attributes steady business growth to an increase in sales to international countries.  The company participated in the CAMT ExporTech program, providing a network of resources needed to succeed in exporting. After participating in ExporTech, Wolf Robotics annual foreign revenue has grown from approximately 1% of total revenue to a projected 5% of total revenue expected.
CAMT continues to connect Wolf Robotics to opportunities and resources that encourage business growth. Recently, CAMT helped Wolf Robotics identify potential NASA technologies to enhance new product development. The CAMT-NASA Technology Program is enabling Wolf Robotics to “turn federal R&D and technology into products that will improve the efficiency of American manufacturing,” said Wolf Robotics Director of Engineering. 
Results:
Created 2 new jobs
$250,000 increased sales
Cost savings of $40,000
Projected revenue growth of 20% 
""Wolf Robotics has had a mutually beneficial relationship with CAMT for years. Their assistance with operational excellence initiatives has earned us compliments from several visiting customer manufacturing executives.  Their assistance connecting us to resources and opportunities to further increase revenues has also been beneficial."" Doug Rhoda, President
Follow this link to find a nearby NIST MEP affiliate: http://www.nist.gov/mep/find-your-local-center.cfm.
","March 13, 2012 - 3:15pm","Process Improvement, Exporting and Innovation","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Pharmaceutical Company Finds Innovative Ways to Reduce Energy Use","Eurand Pharmaceuticals (recently merged and now Aptalis) is a privately held, leading specialty pharmaceutical company providing innovative, effective therapies for unmet medical needs, including cystic fibrosis and gastrointestinal disorders. It markets more than 40 products and dosage strengths worldwide in the field of gastroenterology, including several that hold a leading market position.  The company's Vandalia, Ohio location employs 170 people.  
The company recognized an opportunity to significantly reduce their energy spends through improved business practices and implementation of energy efficiency retrofits. TechSolve, the Ohio-based NIST MEP affiliate, offered its energy management expertise and its relationship as a facilitator in the State of Ohio’s Energy Efficiency for Manufacturers (EEM) program to help Eurand find ways to significantly reduce plant energy costs. 
TechSolve facilitated the first phase of the EEM program, an energy management diagnostic, which was followed by the second phase of the EEM program, a detailed on-site energy efficiency audit. The energy efficiency audit quantified the energy usage within the plant and identified lucrative energy saving measures. These reported measures described and quantified the estimated cost, savings, and payback opportunities for Eurand. After a review of the audit, Eurand decided to implement three energy efficiency measures by retrofitting equipment related to its compressed air, waste heat recovery, and lighting usage.  Prior to implementation, Eurand, with TechSolve’s assistance, applied to the state of Ohio for grant funding (this is the third phase of the EEM program), and 50% of its implementation costs were subsidized. The Energy Efficiency for Manufacturers program was so successful for Eurand that it is planning to implement additional energy efficiency measures in the future.
Results:
$100,000 investment in sustainability
$116,340 in potential annual energy savings
Energy efficiency retrofits alone reduced energy costs by $5k monthly 
""TechSolve helped us implement energy saving measures that we may have never accomplished. These measures lowered our overhead costs and made our business more competitive. As additional benefits to the energy savings, some of the measures improved our energy systems’ capacity, along with improving our lighting quality in the plant. ""  Scott Schmaltz, Process Engineer
For more information, contact a nearby NIST MEP affiliate. 
","March 13, 2012 - 3:00pm","Energy Management","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Alliance Rubber Innovates New Products in New Markets","Founded in 1923, Alliance Rubber (Alliance) is the largest domestic producer of Rubber Bands in the United States.  It employs about 150 people in its Hot Springs Arkansas plant.
Since 2003, Alliance has worked with Arkansas Manufacturing Solutions (AMS), a NIST MEP affiliate, in business strategies and continuous improvement projects.  Alliance’s CEO, Bonnie Swayze, knew that they could not lean themselves to profitability.  They needed to grow revenue as well as control costs.  Starting in 2007, Alliance began having difficulty in developing new products.  There was a two year drought with no new products introduced.  In addition, the increasing price of crude rubber, their main raw material, had been hitting record highs in the last couple of years--eroding into their profit margins on existing products.
Alliance realized that to remain competitive in the current business environment, it was necessary to be ready, willing and able to make changes and be innovative in its product development and process improvement.  Beginning in 2008, Alliance had the opportunities to participate in several innovation engineering-related events sponsored by AMS. Since then, they have used the methodologies and tools, and were successful in introducing ten innovations (five in the past year alone) and all had a positive impact.  They plan to introduce three to four new products every year utilizing the techniques learned at the training. 
Bonnie and her team of 150 associates at Alliance intend to continue to use their innovative skills to continue their 80+ year record of excellence. The high price of crude rubber has slowed three additional innovations but a new pricing matrix developed using the innovation techniques they learned, allows them to adjust prices in one week as opposed to the previous three months. This ability lets them focus on products where there is higher profitability and less impact from the high rubber price.  Going forward they now have a system in place to continuously develop new products on a regular basis.  They can have new ideas fully thought out (market penetration, threats, and costs) in 40 days.
Results:
30% net profit margin realized for new products
Introduced 8 new products to market (and in new markets)
Developed 80 new product ideas 
Testimonial:
""Engaging in the AMS innovation events allowed us to step outside of our comfort zone and create meaningful new products. My only regret is that we did not do something like this sooner.""
Jason Risner, Strategic Marketing Manager
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:45pm","Process Improvement and Sales","http://www.nist.gov/mep/find-your-local-center.cfm" 
" PCS Edventures Enters New Markets with Export Excellence","With a goal to provide “new learning for a new world,” PCS Edventures! delivers products rich in technology, imagination, innovation, and creativity that make learning easier, more engaging, and more effective.  PCS-designed programs serve pre-school to college-level students, emphasizing hands-on experiences in Science, Technology, Engineering and Math (STEM).  Founded by an Idaho school teacher, PCS is based in Boise and employs 22 full-time people.  PCS products are in use at more than 7,000 sites in the US and abroad.
Already active in eight countries, PCS leaders were looking for ways to explore additional overseas markets.   They found their opportunity in Export Excellence, a program delivered by Idaho TechHelp, the NIST MEP affiliate in Idaho.  The program enlists Idaho's top export professionals to help companies learn about and maximize new export opportunities.  Based on its previous experience in exporting and its commitment to continue to expand exports, PCS was one of five companies selected for that year's Export Excellence program.
 In five daylong sessions, TechHelp and its partners in Export Excellence delivered a full menu of export development knowledge and services, including an Export Coach from the Idaho District Export Council and a student intern from Boise State University’s International Business Program. After initially targeting South America, PCS was able to pivot and take advantage of immediate opportunities that arose in India and the Middle East.  PCS was also able to build a relationship with TechHelp’s New Product Development Lab at Boise State University and is poised to move move forward on the South American expansion plan once the other opportunities are realized.
Results:
Awarded for top Export Action Plan
Expansion opportunities in Mexico and China
EB-5 Visa Program to attract foreign investments
Received grant of $75,000 from the Northwest Trade Adjustment Assistance Center 
Testimonial:
""Idaho TechHelp's Export Excellence program gave me the opportunity to meet and develop working relationships with some of the top export professionals in Idaho and to fine-tune our process for evaluating and developing export opportunities that will guide future expansion activities of PCS.""  Robert Grover, CEO
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:30pm","Export Excellence Program","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Technology Scouting Develops US Made Product Enhancement","Brey & Krause Manufacturing Company is a fully integrated manufacturer of bathroom fixtures and safety railings for industrial applications.  They were founded in 1909 and currently employ 40 people in Bethlehem, PA.  All products are made in the USA and are used in new and existing commercial, industrial, and Housing and Urban Development facilities.  A wide variety of styles, colors, materials and finishes ensure appropriate application in hospitals, nursing homes, schools, office buildings, factories, airports, restaurants, prisons, hotels, health clubs, locker rooms and public restrooms.
The company needed help in finding a coating that could be added to the current process to provide a certain level of luminescence to their end products.  This would allow the fixtures and railings to give off a small aura of light and be luminescent in the dark. The company requested assistance from the Manufacturers Resource Center (MRC), a NIST MEP affiliate. 
MRC provided the research to identify and qualify new or current technology that could deliver a glow-in-the-dark coating for the company’s fixture and railing product lines.  Research was conducted into powder, dip, paint, fluid, plasma, and vacuum coatings.  While the company wanted to use either powder or dip coatings, it was concluded that dip coatings required an investment in new equipment.  MRC narrowed the search again to identify four suppliers of environmentally friendly powder coatings and scouted for firms with readily available powder technology. All four vendors are in the process of supplying samples to Brey & Krause for product trials. 
Results:
Connected manufacturer with US suppliers
Saved capital costs
Implemented technology to offer a new product line 
Testimonial:
""MRC listened to our need and investigated many methods of achieving a product enhancement. Their technology scouting quickly provided us options that did not require additional capital investment.  We are pleased with how efficient the process was and that we can now move forward with our new product line.""   Vykie Whipple, CFO
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:30pm","Process Improvement and Sales","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Small Manufacturer Commercializes High-Tech Medical Device to Help Seniors","Founded in 2005, AFrame Digital is a research-based technology company delivering intelligent, non-intrusive and secure wireless wellness monitoring and alerting solutions to senior living communities, rehabilitation facilities, and to the home.  AFrame Digital, Inc. is located in Reston, Virginia and currently has approximately 10 employees.
AFrame Digital was developing a next-generation remote, wireless health monitoring system for the growing eldercare market. The company was awarded multiple research contracts and grants including an SBIR (Small Business Innovation Research) grant from the National Institute on Aging (NlA), part of the National Institute of Health (NIH). The idea was to develop a non-intrusive wearable monitor worn on the wrist that can detect falls and continuously monitor an individual for instability during regular activities of daily living, because falls are the leading cause of accidental death in people over the age of 65 in the U.S. In order to commercialize a medical device, a 510(k) application needed to be submitted to the FDA for product pre-market notification. AFrame Digital intended to manufacture and market this device.  GENEDGE ALLIANCE, a NIST MEP affiliate,  was brought in to assist in the commercialization of the new wrist-based wireless monitor. 
In order to obtain the necessary FDA clearance, GENEDGE created a plan for AFrame to complete and submit the application process.  The proposal included working directly with the client and using the services of a third party GENEDGE service provider, DP Distribution & Consulting LLC, to achieve project objectives.  AFrame staff were trained on the application process, including a train-the-trainer module for training future personnel.  A risk assessment analysis was then performed to ISO 14971 standards.  GENEDGE also helped AFrame communicate design requirements to its specification developer and helped create a software validation strategy and implementation plan.  Product labels were then developed, and the final 510(k) application was submitted to the FDA.  Approval for the new device was obtained, allowing AFrame to move forward with product commercialization.
Results:
Commercialization of a new medical device
Achieved FDA 510(k) clearance to market
Obtained additional $1 million in outside funding 
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:30pm","Commercialization of New Product","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Brewery Taps into Georgia Tech Assistance to Expand Business","Terrapin Beer Company was born when two brewers met while working together at a microbrewery in Atlanta, Georgia. Terrapin introduced its first beer, the Rye Pale Ale, in April of 2002. Six months later, only available on draft in Athens, Georgia, Terrapin’s sole offering won the American Pale Ale Gold Medal at the 2002 Great American Beer Festival. Today, the company has a 40,000-square-foot brewing facility in Athens and employs 30 people. 
With all of the beer company’s success, the two business partners had built the brand to a point where they could attract investors. In 2006, they were finally able to open their brewery in Athens. As the business grew, Buckowski and Cochran favored investing in the brand’s rapid growth but were experiencing philosophical differences with their investment group.  They needed strategic business advice to figure out how to move the business forward.
Georgia’s Manufacturing Extension Partnership, a NIST MEP affiliate, assisted the business partners with filling the company’s empty board seat and locating appropriate legal counsel. They also helped review and close on an investment contract that allowed the two founders to buy out the original investment group while retaining the equity they had developed in the company. 
Results:
Achieved $5 million in sales
Undergoing a $3.2 million capital expansion plan
Remains an independent brewery 
Testimonial:
""With the help of Georgia MEP, we managed to buy out our original investors – they got a great return on their investment and we did well for ourselves. We own the entire company again.""
John Cochran, Founder & President
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:15pm","Strategic Business Advice","http://www.nist.gov/mep/find-your-local-center.cfm" 
"B/E Aerospace Pilots Model of Sustainability","B/E Aerospace provides aircraft interior products and solutions for the commercial, business jet and military markets.  Its West Point Seating Business, located in Winston-Salem, assembles seats for Boeing, Airbus and Bombardier. 
B/E is the first manufacturer to participate in North Carolina's pilot E3 initiative, a NIST MEP project involving EPA and others.  The E3 (Economy, Energy and Environment) is a collaborative program which includes federal, state and local agencies working together to help manufacturers be more competitive and sustainable. The E3 program provides consultation, access to resources for implementation and solutions, and a self-sustaining component where manufacturers may share best practices and meet their long-term sustainability goals.  B/E Aerospace became involved in this pilot program after recognizing the synergy between the business plan that they were executing and the business model that the E3 initiative was promoting. 
E3 leveraged experts in each field of assessment.  As a team, the experts assessed, compiled and recommended improvements to form one comprehensive, strategic report. This report included baseline data, the improvement metrics designed to address specific problems, as well as savings determined from implementation.  B/E's unique set of assessments included: 
Economy
Steven Forrest, NC MEP improvement specialist and Shingo expert, encouraged ownership of work zones by the actual workers operating in that zone and recommended a report-out to management on each team’s ongoing continuous improvement activity, which helps build leadership. 
Energy
An assessment of energy use was conducted and the findings were typical including turning off all equipment at night, repairing air leaks, and installing lighting occupancy sensors.  Using the EPA Climate Leaders Simplified GHG Emissions Calculator, B/E’s carbon footprint was calculated.  B/E is now trained to use the calculator and can self-evaluate their GHG emissions using the results as a key sustainability indicator moving forward. 
Environment
A green assessment was also conducted.  Most of the waste accumulated at the B/E facility is in the form of packaging, particularly corrugated cardboard.  The assessment recommended a ‘reduce, reuse, recycle philosophy’ to reduce solid waste streams by finding alternatives.  Those alternatives included, among other things, negotiating a change in packaging from suppliers to recyclable material or identifying a source for reuse, which will allow B/E to decrease materials heading to the landfill.
Results:
 $46,700 in plant improvements
Investment in workforce practices of $41,280   
Testimonial:
""By joining E3, we saw an opportunity to gain a professional and knowledgeable third party critique of our progress, potential opportunities, and validation as to whether we were investing our finite resources wisely. Having now participated in the process, we are better equipped for the next phase of our organizational growth.""
Liam O'Boyle, Vice President and General Manager, West Point Seating Division
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:15pm","Process Improvement","http://www.nist.gov/mep/find-your-local-center.cfm" 
"TechSolve’s E3 and Growth Services Drive AIM Recovery","Advance Industrial Manufacturing (AIM) is a custom metal fabrication company located in Grove City, Ohio.  Founded in 1987, AIM specializes in components and replacement parts for stairways, handrails, mezzanines, and loading ramps.  The company also provides very large fabrications for the power distribution, power generation, steel and coal mining industries.  A woman-owned company, AIM employs approximately 50 people.
Like many small manufacturers, AIM saw its sales decline as the recession took hold.  But rather than waiting for the economy to recover, AIM decided to look for ways to contain costs, increase sales, and stimulate growth. In a manufacturing plant, one of the first places to look for cost savings is energy usage.  Through their relationship with TechSolve, the NIST MEP affiliate in Ohio, AIM signed on to the E3--Economy, Energy, & Environment--program.  Developed in part by the U.S. Environmental Protection Agency and the U.S. Department of Energy, the program is designed to improve production and profitability while reducing energy usage and environmental impact. E3 doesn’t look only at cost savings – it seeks out opportunities for growth—another priority for AIM.
An energy analysis performed by the University of Dayton Industrial Assessment Center identified several opportunities to decrease energy use and reduce emissions.  In tandem with the energy audit, the TechSolve team provided training and coaching to develop a pipeline of new growth ideas. TechSolve led AIM through a workshop that generated more than 50 ideas for new product lines.  Among these were more effective sales messages, the identification of new customers and markets, and new and improved products and services.   Out of the 50 new product ideas, AIM chose two to focus on immediately, holding the rest in the pipeline for future consideration.  This process forced the management team to think outside of the box and achieve consensus on the direction they wanted to take.
Results:
$700,000 in increased and retained sales
10 jobs created
25 jobs retained
$38,800 in cost savings Pipeline of over
50 ideas for future growth opportunities 
Testimonial:
 ""TechSolve was a big part of our turnaround. TechSolve’s guidance was integral to our success.”   Jim Wintzer, President
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:15pm","Energy and Innovation Management","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Innovation Engineering Management System Saves Time and Money","Located in Slaughter, LA and employing 81 team members, Anvil Attachments (ANVIL) is one of the oldest, suppliers of grabs, grapples, and clamshell buckets for bulk material handling.  Anvil has been supplying products under various brand names since 1905.  The company supplies grapples and buckets in hydraulic, electro-hydraulic, and traditional cable operation.  They also repair and service older units, supply parts, and re-engineer off-brand buckets for greater performance. Anvil is the only U.S. manufacturer of clamshell buckets that has passed a two year testing program of the U.S. government for quality and strength. 
After Jon Craft, President, and Jay Landaiche of ANVIL attended the Innovation Engineering Leadership Institute (IELI) in Louisiana they began implementing the Innovation Engineering System within the company.  Each month they sent additional staff members to IELI trainings in various states, with roughly 10% of employees having attended a session.  They wanted to help improve the creation of new ideas for products, services, process improvements, markets, and marketing messages.  ANVIL requested that the Manufacturing Extension Partnership of Louisiana (MEPOL), a NIST MEP affiliate, conduct an Innovation Engineering event to accelerate the implementation of the concepts learned in the IELI. 
MEPOL trained 21 employees at ANVIL's facility, focusing on a ""Fail Fast, Fail Cheap"" concept from IELI. Several product ideas were conceived and concept cards were created.  One of the top product ideas was the Quick Connect Tines, which could have reduced customer down time by more than 50%.  Using the Innovation Engineering System methods and coaching by MEPOL, ANVIL quickly developed potential ""death threats"" for the product, the math game plan, and began cycles of learning to ""fail fast and fail cheap"" on this new product idea.  They prepared and conducted a customer survey to get product concept feedback, which revealed that customers thought the new product too costly given the initial cost of the first purchase.  So the team went back and looked at other ways to package the new idea.  They did calculations on a two year package as apposed to the upfront initial purchase to see what the savings might bring.  While working the math game plan on this scenario, they realized once again that the savings to the customer were not enough to proceed and the idea was killed (a good thing in the IELI philosophy).   They celebrated this because it helped the company to reduce risk.  Previously, ANVIL likely would have had the idea, created a prototype without customer input, then tried to sell it which would have resulted in a lot of time, materials and inventory space wasted, and no sales in the end. 
Results:
$100,000 in cost savings
Increased innovation speed, reduced company risk
Created an innovation managmement system within the organization  
Testimonial:
""I attended the Innovation Engineering Leadership Institute seminar not fully knowing what to expect.  After three long days of learning “Fail Fast, Fail Cheap” and many other methods, I was very excited.  While we implement lean, it was only half of what we needed.  Innovation Engineering is the other half we’ve been looking for, with methods of developing new ideas fast and learning how to better market our company.""  Jon Craft, President
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 2:00pm","Innovation Management","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Improved Production Keeps More Jobs in the U.S.","For half a century,  FMC Corporation’s BioPolymer Division has operated a plant in Newark that produces excipients--organic compounds made from wood pulp that are widely used to bind or add viscosity to food and medicine. If you ever have wondered how the active ingredient in St. Joseph’s Aspirin for Children is delivered through an easily swallowed pill, thank excipients. The compounds also enable particles to be suspended in salad dressings, protein shakes, milk of magnesia, cough syrups and other products. FMC—once known as Food Machinery Corporation—also produces good jobs.  In Newark, Delaware 105, well-paid people are employed at the plant; 42% of employees have worked at FMC for 20 years or more. The 26-acre plant pumps $23 million into the local economy each year, through wages, supplies and other expenditures. The FMC BioPolymer business manufactures products for the food and pharmaceutical industries in Europe, Asia and Maine, in addition to Newark, which specializes in sophisticated goods for such customers as AstraZeneca, Pfizer and Nestle.
“We’ve always been the plant that takes on the difficult products our competitors can’t copy, and then develops the new products that add value for customers” says Graham Moore, FMC Newark plant manager. FMC is intent on growing that segment of the market. Newark had doubled production over the past 15 years but was at risk for being passed over for expansion in favor of a location in Asia, where labor costs are lower. The local plant needed to prove itself by raising the bar even higher. To find ways to squeeze new efficiencies out of the operation, FMC turned to the Delaware Manufacturing Extension Partnership (DEMEP), a NIST MEP affiliate.
DEMEP helped the company arrange for a training grant through the Delaware Economic Development Office. One of the most effective ways to increase productivity is to decrease down time, the minutes and hours drained by bottlenecks in work flow or breakdowns of machinery. The plant already had an admirable overall equipment efficiency (OEE) rate of 82%. 
DEMEP mapped operations at the plant and analyzed processes for maintaining equipment. They discovered that a significant number of repairs were done on an emergency or unplanned basis. By predicting and scheduling repairs, FMC could minimize disruptions and keep the work flowing.  Workers were trained in total productive maintenance—known as TPM—in small groups of about 12, with each group devoting an entire week to the process, which represented a significant investment in resources. “We believe learning best practices and becoming a world-class operation are worth the investment,” Moore says. “It pays off in future productivity and better morale.” FMC now can accurately predict when maintenance is imminent. That enables workers to make small adjustments or repairs before serious problems develop.  As a result, the rate of emergency work declined and taking a proactive approach to maintenance also will pay off in safety.
Results:
Created 8 new jobs
25% plant expansion instead of broadening Asia operations
Increased completed job orders by 30% 
Testimonial:
""DEMEP helped to safeguard the future of this plant for many years to come.  That gives us a great sense of security about the 105 people who already work here.""  Graham Moore, Plant Manager
For more information, contact a nearby NIST MEP affiliate.
","March 12, 2012 - 10:15am","Process Improvement and Sales","http://www.nist.gov/mep/find-your-local-center.cfm" 
"New Contract Creates New Jobs and Increases Sales","Established in 1975, Ne-Mo’s Bakery is based in Escondido, California. The company's product line includes Cake-Breads, Cake Slices, Cake Squares, Cinnamon Rolls, Coffee Cakes, Mini Loaves, Muffins, Danish and Specialty Cakes. The 200 employee organization prides itself on only using fresh ingredients and adhering to the principles of scratch baking. Ne-Mo’s products can be found in convenience stores, delicatessens, quality fast food chains and catering circles nationwide. 
The company's sales relied heavily on the effectiveness of the production line of its main product, square cakes. Increases in production and labor costs on that line were impacting the organization’s profitability and job preservation. The company needed to improve operational efficiencies and identify capital improvements to increase plant capacity while reducing costs.  Ne-Mo’s had another challenge. A national coffee chain wanted to enlist the company’s services to create small decorative cupcakes. This was a major sales opportunity, as the product would be sold in stores nationwide. Ne-Mo’s needed assistance preparing for the increased production requirements associated with the contract. The coffee chain had mandatory inventory level requirements and the process to create the cupcakes was complex and labor intensive. The company needed help to design the production line in the most efficient way possible.
Ne-Mo’s turned to California Manufacturing Technology Consulting® (CMTC), a NIST MEP affiliate, for assistance based on a positive past experience with the Manufacturing Extension Partnership of Utah (another NIST MEP affiliate).  CMTC consultants conducted a planning meeting and worked with plant management to understand its current manufacturing operations. This information was used to develop Value Stream Maps which served as the basis for designing and implementing continuous improvements. CMTC provided a report with specific recommendations on plant layout and equipment considerations with the goal to increase capacity while reducing production and labor costs. CMTC provided training and simulation exercises for the company. Ne-Mo’s found the workshop so beneficial that it enlisted CMTC to come back for further support. CMTC provided onsite coaching and facilitated project implementation, worked with management to identify additional continuous improvement projects, and provided change management coaching. CMTC was also instrumental in assisting Ne-Mo’s with meeting requirements for its national coffee chain contract. CMTC helped the organization determine how the new production line would integrate into its existing plant layout and processes.  They worked with staff to conduct tests to determine how to meet inventory cycle requirements while developing the new line layout to ensure an efficient process. Ne-Mo’s conducted its first week of testing for the national coffee chain and met all of their requirements. It now has the capability to exceed the current coffee chain forecasted sales requirements. 
Results:
Increased sales by $8 million
Created 50 new jobs
$120,000 in cost savings 
Testimonial:
 ""CMTC and the MEP system deliver results. Through their Lean Manufacturing initiatives, we were able to improve our processes which greatly reduce our costs. Their input on designing our new production line increased our sales and allowed us to hire 50 new people.""  Frank Kieffer, Vice President of Operations
For more information, contact a nearby NIST MEP affiliate.
","March 9, 2012 - 3:15pm","Process Improvement and Sales","http://www.nist.gov/mep/find-your-local-center.cfm" 
"Efficiencies Lead Company to International Market Expansion","Advantage Controls was formed by three brothers in 1994, and has grown at a steady pace through the years. The company’s main operation is the production of controls and systems used in industrial water treatment. It is currently the largest supplier in its market and employs about 100 people at its factory in Muskogee, Oklahoma.
Executives at Advantage Controls realized that a strategic vision was needed to remain an industry leader and competitive in their field. While successful, the company knew it was not as efficient as it could be.  Leaders concluded that if the company continued to grow, it would soon be out of production space. For options, Advantage Controls turned to the Oklahoma Manufacturing Alliance (the Alliance), a NIST MEP affiliate. The Alliance had developed a long, trusting relationship with the company CEO and President.
As a first step, the Alliance offered company leaders a Lean 101 introductory course. Leaders quickly grasped the concepts and realized that a company-wide Lean transformation would lay the foundation for future growth. All employees completed 101 training and two initial lean implementation projects, with a plan to have all six manufacturing groups working at optimum efficiency. The operations manager was certified as a Lean Implementer to ensure sustainability of efforts. The successful efforts and exposure to lean philosophies gave owners the confidence to develop new products and markets. Advantage Controls also participated in a NIST MEP ExporTech course and added sales reps in several countries. Additionally, the Alliance helped secure the resources for development of a new product, which puts Advantage Controls squarely in the middle of a burgeoning industry with vast future revenue potential. 
Results: 
$4,000,000 in increased sales
Created 40 new jobs
Reduced production time reduced by 50%
New capital investments of $2 million 
Testimonial:
""The Oklahoma Manufacturing Alliance has proved to be an invaluable resource in helping Advantage Controls grow and prosper.""   Dan Morris, President and CEO
Contact a nearby NIST MEP affiliate for more information.
","March 9, 2012 - 2:45pm","Sales, Export and Lean Process Improvement","http://www.nist.gov/mep/find-your-local-center.cfm" 
